id,host_id,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20934056,140293912,32.0,5.0,2019-02-01,0.23,3,137
19845373,140293912,32.0,57.0,2019-02-01,2.38,3,89
20304193,104836016,32.0,29.0,2019-02-01,1.25,4,66
20654072,104836016,32.0,13.0,2019-02-01,0.59,4,36
20303322,104836016,32.0,14.0,2019-01-06,0.6,4,66
20874820,104836016,32.0,32.0,2019-10-06,1.45,4,99
20744284,47343420,32.0,61.0,2019-02-01,2.71,2,85
21836092,47343420,32.0,10.0,2019-02-01,0.54,2,150
21739264,158338077,32.0,29.0,2019-02-01,1.79,2,67
26298570,158338077,365.0,10.0,2019-02-01,0.83,2,67
22980907,29241227,32.0,94.0,2019-02-07,5.4,2,57
9844047,29241227,32.0,1.0,2019-02-01,0.02,2,130
24473230,184853043,32.0,31.0,2019-02-07,2.88,1,250
24556756,185524223,32.0,95.0,2019-05-07,6.97,2,62
25229464,185524223,32.0,107.0,2019-08-07,8.25,2,62
30418905,35746135,158.0,9.0,2019-02-01,1.23,2,35
26494942,35746135,32.0,34.0,2019-01-07,2.74,2,70
31121208,35855601,32.0,37.0,2019-04-07,5.75,1,35
27141013,204346423,158.0,36.0,2019-07-07,3.26,1,85
23712143,161081229,205.0,80.0,2019-04-07,5.01,2,40
22054258,161081229,205.0,54.0,2019-02-01,2.94,2,45
1278784,6959061,205.0,147.0,2019-02-01,2.02,1,60
28250448,14214034,193.0,24.0,2019-02-01,2.76,2,102
3312276,14214034,205.0,85.0,2019-09-06,1.41,2,75
3431378,17292935,205.0,231.0,2019-02-01,3.95,2,55
3790118,17292935,205.0,276.0,2019-02-01,4.63,2,55
3802218,19533769,205.0,321.0,2019-12-06,5.46,1,53
781486,2723812,205.0,86.0,2017-12-12,1.13,2,60
6939597,2723812,205.0,57.0,2019-02-01,1.17,2,100
9846114,20271650,205.0,36.0,2019-02-01,0.84,1,64
12114017,64976141,205.0,142.0,2019-02-01,3.59,1,125
15453985,99139601,205.0,170.0,2019-02-01,5.16,1,100
17971100,42093468,205.0,54.0,2019-02-01,2.05,4,42
29028761,42093468,205.0,7.0,2019-01-07,1.08,4,42
17972013,42093468,205.0,17.0,2019-02-01,0.65,4,42
18048473,42093468,205.0,21.0,2019-02-01,0.78,4,41
21110331,141012332,205.0,100.0,2019-02-01,4.76,1,115
21413889,155171571,205.0,32.0,2019-08-06,1.59,1,125
22151798,45553025,205.0,47.0,2019-02-01,2.52,1,65
22494825,25581222,205.0,57.0,2019-02-01,3.58,1,140
24594184,185850609,205.0,62.0,2019-02-07,4.34,1,125
25918623,7558748,205.0,36.0,2019-02-01,3.12,1,115
27262079,119826595,205.0,44.0,2019-02-01,3.91,1,132
28082095,135412962,205.0,38.0,2019-02-01,3.68,1,130
29936587,140930693,205.0,38.0,2019-02-01,4.75,2,55
29730616,140930693,205.0,29.0,2019-04-07,3.54,2,60
29800664,224204301,205.0,48.0,2019-07-07,6.96,2,60
31144865,224204301,205.0,30.0,2019-02-07,6.38,2,60
29801175,152202371,205.0,35.0,2019-02-07,4.32,1,65
858695,4494343,205.0,291.0,2019-02-01,3.69,1,30
18795447,89071431,205.0,112.0,2019-02-01,4.65,1,55
3769052,3086826,58.0,59.0,2019-05-04,1.0,1,40
6256470,17264040,58.0,80.0,2019-02-01,1.66,2,105
6244089,17264040,58.0,41.0,2019-02-01,0.81,2,125
19925397,46708895,58.0,45.0,2019-02-01,2.18,1,250
22042837,33201402,58.0,33.0,2019-04-07,1.93,1,39
2371632,10721506,249.0,106.0,2019-02-01,1.66,1,85
4853647,6162041,249.0,129.0,2019-02-01,2.33,1,99
4982699,25686141,249.0,66.0,2019-02-01,1.29,1,99
6576336,34397256,249.0,114.0,2019-02-01,2.47,1,70
11496210,15145474,249.0,86.0,2019-10-06,2.13,4,87
27361471,15145474,249.0,27.0,2019-02-01,2.45,4,51
11474664,15145474,249.0,70.0,2019-05-06,1.76,4,120
21561964,15145474,249.0,38.0,2019-02-01,2.66,4,150
15008979,94707512,249.0,212.0,2019-02-01,6.19,1,75
18077042,121093001,249.0,96.0,2019-02-01,3.59,1,81
18737053,182461,249.0,21.0,2019-01-06,0.81,2,39
19030149,182461,249.0,81.0,2019-02-01,3.33,2,110
20356797,127077398,249.0,51.0,2019-06-07,2.22,1,110
23369859,59514172,249.0,35.0,2019-02-01,2.18,1,120
23495421,149579965,249.0,35.0,2019-02-07,2.17,1,60
25835087,156547988,249.0,32.0,2019-04-06,2.64,4,60
25837948,156547988,272.0,14.0,2019-02-01,1.13,4,60
28456602,156547988,249.0,5.0,2019-02-01,0.5,4,65
28121200,156547988,249.0,6.0,2019-02-01,0.61,4,65
31760403,67746251,249.0,42.0,2019-02-01,8.03,4,44
32047002,67746251,249.0,33.0,2019-02-01,6.39,4,42
32043013,67746251,249.0,40.0,2019-08-07,7.79,4,45
33744142,67746251,249.0,0.0,2019-02-01,0.72,4,149
167222,22486,158.0,20.0,2019-02-01,0.21,6,60
8025,22486,158.0,39.0,2019-01-01,0.37,6,80
8110,22486,158.0,71.0,2019-02-07,0.61,6,110
801626,22486,158.0,25.0,2019-02-01,0.36,6,115
222054,22486,158.0,23.0,2019-02-01,0.24,6,120
8024,22486,158.0,130.0,2019-01-07,1.09,6,130
24285,97797,158.0,88.0,2018-02-11,0.79,1,220
46544,8198,158.0,52.0,2019-05-06,0.5,1,150
66741,327673,158.0,214.0,2019-02-01,2.08,2,150
3271893,327673,158.0,16.0,2019-05-07,0.27,2,250
380416,438133,158.0,23.0,2019-02-01,0.67,2,125
80924,438133,158.0,34.0,2019-02-01,0.51,2,165
141335,687361,158.0,35.0,2019-02-01,0.41,1,495
190974,874471,158.0,179.0,2019-02-01,2.02,1,130
195989,611716,158.0,211.0,2019-02-01,2.21,2,105
121861,611716,158.0,23.0,2016-02-05,0.23,2,165
201992,988350,158.0,105.0,2019-11-05,1.62,1,190
258397,1354758,158.0,135.0,2019-02-01,1.45,1,139
282977,1474071,158.0,232.0,2019-06-07,2.52,1,125
364785,1842714,158.0,30.0,2019-02-01,0.74,1,80
27659,119588,158.0,16.0,2019-02-01,0.24,2,400
417685,119588,158.0,145.0,2019-02-01,1.76,2,160
602453,2316922,158.0,31.0,2018-10-08,0.5,1,65
690934,570988,158.0,173.0,2019-01-07,2.12,1,550
702440,3605606,158.0,76.0,2019-01-06,0.98,1,150
746996,3920265,158.0,270.0,2019-02-07,3.34,1,125
812671,4271822,158.0,76.0,2019-02-01,0.95,1,190
813554,4275254,158.0,36.0,2019-02-01,0.58,1,185
919491,4938247,158.0,163.0,2019-02-01,2.13,1,70
1026565,825252,158.0,45.0,2019-02-01,0.66,1,125
1256768,1537501,158.0,42.0,2019-01-07,0.61,1,147
2248069,2024924,158.0,42.0,2019-02-01,0.64,2,45
